v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoe,shoe,,,,,,1,1,shoe,shoe,shoe
jewelry,jewelry,,,,,,1,2,jewelry,jewelry,jewelry
costuming,costuming,,,,,,1,3,costuming,costuming,costuming
Bags,Bags,,,,,,1,4,Bags,Bags,Bags
Dresses,Dresses,,,,costuming,,1,5,Dresses,Dresses,Dresses
Flats,Flats,,,,shoe,,1,6,Flats,Flats,Flats
Wallets,Wallets,,,,Bags,,1,7,Wallets,Wallets,Wallets
Heels,Heels,,,,shoe,,1,8,Heels,Heels,Heels
Women Tops,Women Tops,,,,costuming,,1,9,Women Tops,Women Tops,Women Tops
T-Shirts,T-Shirts,,,,costuming,,1,10,T-Shirts,T-Shirts,T-Shirts
Bracelets,Bracelets,,,,jewelry,,1,11,Bracelets,Bracelets,Bracelets
Rings,Rings,,,,jewelry,,1,12,Rings,Rings,Rings
Pants,Pants,,,,costuming,,1,13,Pants,Pants,Pants
