v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
ornaments,ornaments,,,,,,1,1,ornaments,ornaments,ornaments
bale,bale,,,,,,1,2,bale,bale,bale
shoe,shoe,,,,,,1,3,shoe,shoe,shoe
garment,garment,,,,,,1,4,garment,garment,garment
Earrings,Earrings,,,,ornaments,,1,5,Earrings,Earrings,Earrings
Rings,Rings,,,,ornaments,,1,6,Rings,Rings,Rings
Backpack,Backpack,,,,bale,,1,7,Backpack,Backpack,Backpack
Heels,Heels,,,,shoe,,1,8,Heels,Heels,Heels
T-Shirts,T-Shirts,,,,garment,,1,9,T-Shirts,T-Shirts,T-Shirts
Flats,Flats,,,,shoe,,1,10,Flats,Flats,Flats
Women Tops,Women Tops,,,,garment,,1,11,Women Tops,Women Tops,Women Tops
Shorts,Shorts,,,,garment,,1,12,Shorts,Shorts,Shorts
Pants,Pants,,,,garment,,1,13,Pants,Pants,Pants
