v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoe,shoe,,,,,,1,1,shoe,shoe,shoe
clothes,clothes,,,,,,1,2,clothes,clothes,clothes
Handbags,Handbags,,,,,,1,3,Handbags,Handbags,Handbags
ornaments,ornaments,,,,,,1,4,ornaments,ornaments,ornaments
Shorts,Shorts,,,,clothes,,1,5,Shorts,Shorts,Shorts
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,6,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Bracelets,Bracelets,,,,ornaments,,1,7,Bracelets,Bracelets,Bracelets
Rings,Rings,,,,ornaments,,1,8,Rings,Rings,Rings
Skirts,Skirts,,,,clothes,,1,9,Skirts,Skirts,Skirts
Tank Tops & Cam's,Tank Tops & Cam's,,,,clothes,,1,10,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Handbags,Handbags,,,,Handbags,,1,11,Handbags,Handbags,Handbags
Pants,Pants,,,,clothes,,1,12,Pants,Pants,Pants
Slippers,Slippers,,,,shoe,,1,13,Slippers,Slippers,Slippers
