v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
jewelry,jewelry,,,,,,1,1,jewelry,jewelry,jewelry
Bags,Bags,,,,,,1,2,Bags,Bags,Bags
shoe,shoe,,,,,,1,3,shoe,shoe,shoe
clothing,clothing,,,,,,1,4,clothing,clothing,clothing
Rings,Rings,,,,jewelry,,1,5,Rings,Rings,Rings
Skirts,Skirts,,,,clothing,,1,6,Skirts,Skirts,Skirts
Slippers,Slippers,,,,shoe,,1,7,Slippers,Slippers,Slippers
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,8,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Pendant Necklaces,Pendant Necklaces,,,,jewelry,,1,9,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Dresses,Dresses,,,,clothing,,1,10,Dresses,Dresses,Dresses
Pants,Pants,,,,clothing,,1,11,Pants,Pants,Pants
Shorts,Shorts,,,,clothing,,1,12,Shorts,Shorts,Shorts
Handbags,Handbags,,,,Bags,,1,13,Handbags,Handbags,Handbags
