v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
Backpack,Backpack,,,,,,1,1,Backpack,Backpack,Backpack
shoes,shoes,,,,,,1,2,shoes,shoes,shoes
jewellery,jewellery,,,,,,1,3,jewellery,jewellery,jewellery
garment,garment,,,,,,1,4,garment,garment,garment
Earrings,Earrings,,,,jewellery,,1,5,Earrings,Earrings,Earrings
Pendant Necklaces,Pendant Necklaces,,,,jewellery,,1,6,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Tank Tops & Cam's,Tank Tops & Cam's,,,,garment,,1,7,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Pants,Pants,,,,garment,,1,8,Pants,Pants,Pants
Dresses,Dresses,,,,garment,,1,9,Dresses,Dresses,Dresses
Blouses,Blouses,,,,garment,,1,10,Blouses,Blouses,Blouses
Sneakers & Athletic,Sneakers & Athletic,,,,shoes,,1,11,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Heels,Heels,,,,shoes,,1,12,Heels,Heels,Heels
Backpack,Backpack,,,,Backpack,,1,13,Backpack,Backpack,Backpack
