v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoes,shoes,,,,,,1,1,shoes,shoes,shoes
jewelry,jewelry,,,,,,1,2,jewelry,jewelry,jewelry
habiliment,habiliment,,,,,,1,3,habiliment,habiliment,habiliment
Backpack,Backpack,,,,,,1,4,Backpack,Backpack,Backpack
T-Shirts,T-Shirts,,,,habiliment,,1,5,T-Shirts,T-Shirts,T-Shirts
Sandals,Sandals,,,,shoes,,1,6,Sandals,Sandals,Sandals
Women Tops,Women Tops,,,,habiliment,,1,7,Women Tops,Women Tops,Women Tops
Earrings,Earrings,,,,jewelry,,1,8,Earrings,Earrings,Earrings
Shorts,Shorts,,,,habiliment,,1,9,Shorts,Shorts,Shorts
Backpack,Backpack,,,,Backpack,,1,10,Backpack,Backpack,Backpack
Bracelets,Bracelets,,,,jewelry,,1,11,Bracelets,Bracelets,Bracelets
Slippers,Slippers,,,,shoes,,1,12,Slippers,Slippers,Slippers
Blouses,Blouses,,,,habiliment,,1,13,Blouses,Blouses,Blouses
