v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoe,shoe,,,,,,1,1,shoe,shoe,shoe
Wallets,Wallets,,,,,,1,2,Wallets,Wallets,Wallets
ornaments,ornaments,,,,,,1,3,ornaments,ornaments,ornaments
clothes,clothes,,,,,,1,4,clothes,clothes,clothes
Wallets,Wallets,,,,Wallets,,1,5,Wallets,Wallets,Wallets
Slippers,Slippers,,,,shoe,,1,6,Slippers,Slippers,Slippers
Sandals,Sandals,,,,shoe,,1,7,Sandals,Sandals,Sandals
Shorts,Shorts,,,,clothes,,1,8,Shorts,Shorts,Shorts
Denim Shorts,Denim Shorts,,,,clothes,,1,9,Denim Shorts,Denim Shorts,Denim Shorts
Tank Tops & Cam's,Tank Tops & Cam's,,,,clothes,,1,10,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Women Tops,Women Tops,,,,clothes,,1,11,Women Tops,Women Tops,Women Tops
Bracelets,Bracelets,,,,ornaments,,1,12,Bracelets,Bracelets,Bracelets
Pendant Necklaces,Pendant Necklaces,,,,ornaments,,1,13,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
