v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
jewellery,jewellery,,,,,,1,1,jewellery,jewellery,jewellery
clothes,clothes,,,,,,1,2,clothes,clothes,clothes
shoe,shoe,,,,,,1,3,shoe,shoe,shoe
Wallets,Wallets,,,,,,1,4,Wallets,Wallets,Wallets
Skirts,Skirts,,,,clothes,,1,5,Skirts,Skirts,Skirts
Blouses,Blouses,,,,clothes,,1,6,Blouses,Blouses,Blouses
Sandals,Sandals,,,,shoe,,1,7,Sandals,Sandals,Sandals
Wallets,Wallets,,,,Wallets,,1,8,Wallets,Wallets,Wallets
Pants,Pants,,,,clothes,,1,9,Pants,Pants,Pants
Pendant Necklaces,Pendant Necklaces,,,,jewellery,,1,10,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Earrings,Earrings,,,,jewellery,,1,11,Earrings,Earrings,Earrings
Heels,Heels,,,,shoe,,1,12,Heels,Heels,Heels
T-Shirts,T-Shirts,,,,clothes,,1,13,T-Shirts,T-Shirts,T-Shirts
