v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
Backpack,Backpack,,,,,,1,1,Backpack,Backpack,Backpack
jewelry,jewelry,,,,,,1,2,jewelry,jewelry,jewelry
attire,attire,,,,,,1,3,attire,attire,attire
shoe,shoe,,,,,,1,4,shoe,shoe,shoe
Rings,Rings,,,,jewelry,,1,5,Rings,Rings,Rings
Sandals,Sandals,,,,shoe,,1,6,Sandals,Sandals,Sandals
Pendant Necklaces,Pendant Necklaces,,,,jewelry,,1,7,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Tank Tops & Cam's,Tank Tops & Cam's,,,,attire,,1,8,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Flats,Flats,,,,shoe,,1,9,Flats,Flats,Flats
Dresses,Dresses,,,,attire,,1,10,Dresses,Dresses,Dresses
Skirts,Skirts,,,,attire,,1,11,Skirts,Skirts,Skirts
Women Tops,Women Tops,,,,attire,,1,12,Women Tops,Women Tops,Women Tops
Backpack,Backpack,,,,Backpack,,1,13,Backpack,Backpack,Backpack
