v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
Backpack,Backpack,,,,,,1,1,Backpack,Backpack,Backpack
shoe,shoe,,,,,,1,2,shoe,shoe,shoe
jewellery,jewellery,,,,,,1,3,jewellery,jewellery,jewellery
clothes,clothes,,,,,,1,4,clothes,clothes,clothes
Skirts,Skirts,,,,clothes,,1,5,Skirts,Skirts,Skirts
Blouses,Blouses,,,,clothes,,1,6,Blouses,Blouses,Blouses
Backpack,Backpack,,,,Backpack,,1,7,Backpack,Backpack,Backpack
T-Shirts,T-Shirts,,,,clothes,,1,8,T-Shirts,T-Shirts,T-Shirts
Rings,Rings,,,,jewellery,,1,9,Rings,Rings,Rings
Pendant Necklaces,Pendant Necklaces,,,,jewellery,,1,10,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Heels,Heels,,,,shoe,,1,11,Heels,Heels,Heels
Tank Tops & Cam's,Tank Tops & Cam's,,,,clothes,,1,12,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Slippers,Slippers,,,,shoe,,1,13,Slippers,Slippers,Slippers
