v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
ornaments,ornaments,,,,,,1,1,ornaments,ornaments,ornaments
habiliment,habiliment,,,,,,1,2,habiliment,habiliment,habiliment
shoes,shoes,,,,,,1,3,shoes,shoes,shoes
Bag,Bag,,,,,,1,4,Bag,Bag,Bag
Skirts,Skirts,,,,habiliment,,1,5,Skirts,Skirts,Skirts
Flats,Flats,,,,shoes,,1,6,Flats,Flats,Flats
Rings,Rings,,,,ornaments,,1,7,Rings,Rings,Rings
Blouses,Blouses,,,,habiliment,,1,8,Blouses,Blouses,Blouses
Dresses,Dresses,,,,habiliment,,1,9,Dresses,Dresses,Dresses
Earrings,Earrings,,,,ornaments,,1,10,Earrings,Earrings,Earrings
Denim Shorts,Denim Shorts,,,,habiliment,,1,11,Denim Shorts,Denim Shorts,Denim Shorts
Heels,Heels,,,,shoes,,1,12,Heels,Heels,Heels
Wallets,Wallets,,,,Bag,,1,13,Wallets,Wallets,Wallets
