v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
Handbags,Handbags,,,,,,1,1,Handbags,Handbags,Handbags
clothing,clothing,,,,,,1,2,clothing,clothing,clothing
jewellery,jewellery,,,,,,1,3,jewellery,jewellery,jewellery
shoe,shoe,,,,,,1,4,shoe,shoe,shoe
Pendant Necklaces,Pendant Necklaces,,,,jewellery,,1,5,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Handbags,Handbags,,,,Handbags,,1,6,Handbags,Handbags,Handbags
Dresses,Dresses,,,,clothing,,1,7,Dresses,Dresses,Dresses
Earrings,Earrings,,,,jewellery,,1,8,Earrings,Earrings,Earrings
Pants,Pants,,,,clothing,,1,9,Pants,Pants,Pants
Heels,Heels,,,,shoe,,1,10,Heels,Heels,Heels
Blouses,Blouses,,,,clothing,,1,11,Blouses,Blouses,Blouses
Skirts,Skirts,,,,clothing,,1,12,Skirts,Skirts,Skirts
Slippers,Slippers,,,,shoe,,1,13,Slippers,Slippers,Slippers
