v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoe,shoe,,,,,,1,1,shoe,shoe,shoe
jewellery,jewellery,,,,,,1,2,jewellery,jewellery,jewellery
Handbags,Handbags,,,,,,1,3,Handbags,Handbags,Handbags
garment,garment,,,,,,1,4,garment,garment,garment
Shorts,Shorts,,,,garment,,1,5,Shorts,Shorts,Shorts
Bracelets,Bracelets,,,,jewellery,,1,6,Bracelets,Bracelets,Bracelets
Handbags,Handbags,,,,Handbags,,1,7,Handbags,Handbags,Handbags
Denim Shorts,Denim Shorts,,,,garment,,1,8,Denim Shorts,Denim Shorts,Denim Shorts
Slippers,Slippers,,,,shoe,,1,9,Slippers,Slippers,Slippers
Tank Tops & Cam's,Tank Tops & Cam's,,,,garment,,1,10,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Earrings,Earrings,,,,jewellery,,1,11,Earrings,Earrings,Earrings
Dresses,Dresses,,,,garment,,1,12,Dresses,Dresses,Dresses
Heels,Heels,,,,shoe,,1,13,Heels,Heels,Heels
