v_sku,v_name,v_short_description,v_description,v_image,v_url,v_attribute,v_price,v_specials_price,v_specials_expire_date,v_date_added,v_in_stock,v_status,v_viewed,v_ordered,v_category_sku,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,v_brand_filter,v_class_filter,v_color_filter,v_gender_filter,v_material_filter,v_year_filter,v_origin_filter,v_series_filter,v_spec_filter
CSKTPXU0001,Leopard Halter Crop Top,,<p><b>Style</b>: Sexy</p><p><b>Color</b>: Multicolor</p><p><b>Pattern Type</b>: Leopard</p><p><b>Length</b>: Crop</p><p><b>Season</b>: Summer</p><p><b>Type</b>: Halter</p><p><b>Details</b>: Backless</p><p><b>Details</b>: Asymmetrical</p><p><b>Details</b>: Tie Back</p><p><b>Neckline</b>: Halter</p><p><b>Fit Type</b>: Slim Fit</p><p><b>Sheer</b>: No</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 93% Polyester</p><p><b>Composition</b>: 7% Spandex</p><p><b>Fabric</b>: Slight Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Tank_Tops__Camis/swvest07201208404.jpg,,Size#XS:S:M:L:XL:,29.81,,,,1,1,,,Tank Tops & Cam's,,Leopard Halter Crop Top,Leopard Halter Crop Top,Leopard Halter Crop Top,,,,,,,,,
CSKTPXU0002,1pc Plants Print Tapered Pants,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Multicolor</p><p><b>Pattern Type</b>: Plants</p><p><b>Pattern Type</b>: All Over Print</p><p><b>Length</b>: Long</p><p><b>Type</b>: Tapered/Carrot</p><p><b>Season</b>: Spring/Summer/Fall</p><p><b>Waist Line</b>: Natural</p><p><b>Fit Type</b>: Regular Fit</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Elastic Waist</p><p><b>Material</b>: Rayon</p><p><b>Composition</b>: 100% Viscose</p><p><b>Fabric</b>: Non-Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Pants/swpants03210224960.jpg,,Size#S:M:L:XL:,30.08,,,,1,1,,,Pants,,1pc Plants Print Tapered Pants,1pc Plants Print Tapered Pants,1pc Plants Print Tapered Pants,,,,,,,,,
CSKTPXU0003,Slant Pocket Shorts,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Coffee Brown</p><p><b>Pattern Type</b>: Plain</p><p><b>Type</b>: Straight Leg</p><p><b>Season</b>: Summer</p><p><b>Waist Line</b>: Natural</p><p><b>Fit Type</b>: Regular Fit</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Button Fly</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 100% Polyester</p><p><b>Fabric</b>: Non-Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Shorts/sW210611493988180.jpg,,Size#S:M:L:,23.75,,,,1,1,,,Shorts,,Slant Pocket Shorts,Slant Pocket Shorts,Slant Pocket Shorts,,,,,,,,,
CSKTPXU0004,Frayed Distressed Denim Shorts,,"<p><b>Color</b>: Light Wash</p><p><b>Pattern Type</b>: Plain</p><p><b>Type</b>: Straight Leg</p><p><b>Season</b>: Summer</p><p><b>Details</b>: Ripped</p><p><b>Details</b>: Raw Hem</p><p><b>Waist Line</b>: Natural</p><p><b>Fit Type</b>: Regular Fit</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Button Fly</p><p><b>Material</b>: Denim</p><p><b>Composition</b>: 85% Cotton</p><p><b>Composition</b>: 15% Polyester</p><p><b>Fabric</b>: Non-Stretch</p><p><b>Care Instructions</b>: Machine wash, do not dry clean</p>",img/Denim_Shorts/shorts180301032.jpg,,Size#S:M:L:XL:,30.38,,,,1,1,,,Denim Shorts,,Frayed Distressed Denim Shorts,Frayed Distressed Denim Shorts,Frayed Distressed Denim Shorts,,,,,,,,,
CSKTPXU0005,Bohemian Turquoise Beads Tibetan Buddhist Wood Resin Multilayer Bracelets for Women,,"<p>Type: </p><p>Material: Zinc Alloy, Resin</p><p>Main Color: Colorful</p><p>Weight: About 65g</p><p>Diameter: About 6cm / 2.36'</p><p>Chain Length: About 60cm / 23.62'</p><p>1 x </p>",img/Bracelets/SKU850648.jpg,,Size#,18.74,,,,1,1,,,Bracelets,,Bohemian Turquoise Beads Tibetan Buddhist Wood Resin Multilayer Bracelets for Women,Bohemian Turquoise Beads Tibetan Buddhist Wood Resin Multilayer Bracelets for Women,Bohemian Turquoise Beads Tibetan Buddhist Wood Resin Multilayer Bracelets for Women,,,,,,,,,
CSKTPXU0006,Vintage Geometric Hollow Drop-shape Amber Stone Alloy Earrings,,"<p>Style: Vintage</p><p>Type: Earrings</p><p>Color: Silver</p><p>Weight: 8 g</p><p>Size: About 2*4.5 cm / 0.79*1.77 in</p><p>Material: Alloy,Amber Stone</p><p>Package Includes:</p><p>1 x Earrings</p><p>Notice:</p>",img/Earrings/SKUI28398.jpg,,Size#,16.01,,,,1,1,,,Earrings,,Vintage Geometric Hollow Drop-shape Amber Stone Alloy Earrings,Vintage Geometric Hollow Drop-shape Amber Stone Alloy Earrings,Vintage Geometric Hollow Drop-shape Amber Stone Alloy Earrings,,,,,,,,,
CSKTPXU0007,2Pcs Gradient School Bag Backpack Pencil Case,,"<p>Color:Purple, Grey, Green</p><p>Material:Nylon</p><p>Style:Preppy</p><p>Capacity:4A Magazine, 14 Inch Laptop</p>",img/Backpack/SKUF36364.jpg,,Size#,67.31,,,,1,1,,,Backpack,,2Pcs Gradient School Bag Backpack Pencil Case,2Pcs Gradient School Bag Backpack Pencil Case,2Pcs Gradient School Bag Backpack Pencil Case,,,,,,,,,
CSKTPXU0008,Women Color Block Flip Flops Buckle Casual Flat Sandals,,"<p>Color:Yellow, Brown, Blue</p><p>Type:Thong Sandal</p><p>Closure Type:Buckle</p><p>Heel Type:Flat</p><p>Heel Height:1-3cm In Flat</p><p>Toe Type:Clip Toe</p><p>Pattern:Solid</p><p>Design Element:Patchwork, Elastic Waist</p><p>Upper Material:PU</p><p>Style:Casual</p><p>Outsole Material:Rubber</p><p>Structure:Buckle, Clip Toe</p><p>Occasion:Beach, Daily</p><p>Function:Soft, Hard-wearing</p><p>Season:Summer</p>",img/Sandals/SKUF45650.jpg,,Size#US 5:US 6:US 7:US 8:US 9:US 10:US 11:US 12:,57.6,,,,1,1,,,Sandals,,Women Color Block Flip Flops Buckle Casual Flat Sandals,Women Color Block Flip Flops Buckle Casual Flat Sandals,Women Color Block Flip Flops Buckle Casual Flat Sandals,,,,,,,,,
CSKTPXU0009,Men Stylish Fabric Splicing Non Slip Wearable Casual Sport Shoes,,"<p>Color:White</p><p>Upper Material:Cloth, PU</p><p>Outsole Material:Rubber</p><p>Function:Breathable, Slip Resistant</p><p>Closure Type:Lace-up</p><p>Toe Type:Round</p>",img/Sneakers__Athletic/SKUF70370.jpg,,Size#US 6.5:US 7.5:US 8:US 8.5:US 9:US 10:,49.57,,,,1,1,,,Sneakers & Athletic,,Men Stylish Fabric Splicing Non Slip Wearable Casual Sport Shoes,Men Stylish Fabric Splicing Non Slip Wearable Casual Sport Shoes,Men Stylish Fabric Splicing Non Slip Wearable Casual Sport Shoes,,,,,,,,,
CSKTPXU0010,Contrast Stitch Lettuce Edge Tank Top,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Black</p><p><b>Length</b>: Crop</p><p><b>Season</b>: Summer</p><p><b>Type</b>: Tank</p><p><b>Details</b>: Lettuce Trim</p><p><b>Details</b>: Rib-Knit</p><p><b>Neckline</b>: Round Neck</p><p><b>Fit Type</b>: Slim Fit</p><p><b>Sheer</b>: No</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 70% Polyester</p><p><b>Composition</b>: 25% Cotton</p><p><b>Composition</b>: 5% Spandex</p><p><b>Fabric</b>: Slight Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Tank_Tops__Camis/swvest07201111805.jpg,,Size#XS:S:M:L:XL:,32.4,,,,1,1,,,Tank Tops & Cam's,,Contrast Stitch Lettuce Edge Tank Top,Contrast Stitch Lettuce Edge Tank Top,Contrast Stitch Lettuce Edge Tank Top,,,,,,,,,
