v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
clothes,clothes,,,,,,1,1,clothes,clothes,clothes
ornaments,ornaments,,,,,,1,2,ornaments,ornaments,ornaments
Backpack,Backpack,,,,,,1,3,Backpack,Backpack,Backpack
shoe,shoe,,,,,,1,4,shoe,shoe,shoe
Denim Shorts,Denim Shorts,,,,clothes,,1,5,Denim Shorts,Denim Shorts,Denim Shorts
Earrings,Earrings,,,,ornaments,,1,6,Earrings,Earrings,Earrings
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,7,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Backpack,Backpack,,,,Backpack,,1,8,Backpack,Backpack,Backpack
Shorts,Shorts,,,,clothes,,1,9,Shorts,Shorts,Shorts
Tank Tops & Cam's,Tank Tops & Cam's,,,,clothes,,1,10,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Pants,Pants,,,,clothes,,1,11,Pants,Pants,Pants
Bracelets,Bracelets,,,,ornaments,,1,12,Bracelets,Bracelets,Bracelets
Sandals,Sandals,,,,shoe,,1,13,Sandals,Sandals,Sandals
