v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
garment,garment,,,,,,1,1,garment,garment,garment
shoes,shoes,,,,,,1,2,shoes,shoes,shoes
ornaments,ornaments,,,,,,1,3,ornaments,ornaments,ornaments
Handbags,Handbags,,,,,,1,4,Handbags,Handbags,Handbags
Denim Shorts,Denim Shorts,,,,garment,,1,5,Denim Shorts,Denim Shorts,Denim Shorts
Bracelets,Bracelets,,,,ornaments,,1,6,Bracelets,Bracelets,Bracelets
Skirts,Skirts,,,,garment,,1,7,Skirts,Skirts,Skirts
Rings,Rings,,,,ornaments,,1,8,Rings,Rings,Rings
Blouses,Blouses,,,,garment,,1,9,Blouses,Blouses,Blouses
Handbags,Handbags,,,,Handbags,,1,10,Handbags,Handbags,Handbags
Heels,Heels,,,,shoes,,1,11,Heels,Heels,Heels
Flats,Flats,,,,shoes,,1,12,Flats,Flats,Flats
Women Tops,Women Tops,,,,garment,,1,13,Women Tops,Women Tops,Women Tops
