v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
costuming,costuming,,,,,,1,1,costuming,costuming,costuming
shoes,shoes,,,,,,1,2,shoes,shoes,shoes
jewellery,jewellery,,,,,,1,3,jewellery,jewellery,jewellery
bale,bale,,,,,,1,4,bale,bale,bale
Dresses,Dresses,,,,costuming,,1,5,Dresses,Dresses,Dresses
Pendant Necklaces,Pendant Necklaces,,,,jewellery,,1,6,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Tank Tops & Cam's,Tank Tops & Cam's,,,,costuming,,1,7,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Rings,Rings,,,,jewellery,,1,8,Rings,Rings,Rings
Flats,Flats,,,,shoes,,1,9,Flats,Flats,Flats
Sneakers & Athletic,Sneakers & Athletic,,,,shoes,,1,10,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Women Tops,Women Tops,,,,costuming,,1,11,Women Tops,Women Tops,Women Tops
Backpack,Backpack,,,,bale,,1,12,Backpack,Backpack,Backpack
Shorts,Shorts,,,,costuming,,1,13,Shorts,Shorts,Shorts
