v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoe,shoe,,,,,,1,1,shoe,shoe,shoe
Bags,Bags,,,,,,1,2,Bags,Bags,Bags
clothing,clothing,,,,,,1,3,clothing,clothing,clothing
ornaments,ornaments,,,,,,1,4,ornaments,ornaments,ornaments
Pants,Pants,,,,clothing,,1,5,Pants,Pants,Pants
Heels,Heels,,,,shoe,,1,6,Heels,Heels,Heels
Tank Tops & Cam's,Tank Tops & Cam's,,,,clothing,,1,7,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Women Tops,Women Tops,,,,clothing,,1,8,Women Tops,Women Tops,Women Tops
Handbags,Handbags,,,,Bags,,1,9,Handbags,Handbags,Handbags
Pendant Necklaces,Pendant Necklaces,,,,ornaments,,1,10,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Bracelets,Bracelets,,,,ornaments,,1,11,Bracelets,Bracelets,Bracelets
Slippers,Slippers,,,,shoe,,1,12,Slippers,Slippers,Slippers
Denim Shorts,Denim Shorts,,,,clothing,,1,13,Denim Shorts,Denim Shorts,Denim Shorts
