v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoe,shoe,,,,,,1,1,shoe,shoe,shoe
jewellery,jewellery,,,,,,1,2,jewellery,jewellery,jewellery
attire,attire,,,,,,1,3,attire,attire,attire
Bag,Bag,,,,,,1,4,Bag,Bag,Bag
Blouses,Blouses,,,,attire,,1,5,Blouses,Blouses,Blouses
Skirts,Skirts,,,,attire,,1,6,Skirts,Skirts,Skirts
Sandals,Sandals,,,,shoe,,1,7,Sandals,Sandals,Sandals
Tank Tops & Cam's,Tank Tops & Cam's,,,,attire,,1,8,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Earrings,Earrings,,,,jewellery,,1,9,Earrings,Earrings,Earrings
Handbags,Handbags,,,,Bag,,1,10,Handbags,Handbags,Handbags
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,11,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Dresses,Dresses,,,,attire,,1,12,Dresses,Dresses,Dresses
Bracelets,Bracelets,,,,jewellery,,1,13,Bracelets,Bracelets,Bracelets
