v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
ornaments,ornaments,,,,,,1,1,ornaments,ornaments,ornaments
bale,bale,,,,,,1,2,bale,bale,bale
garment,garment,,,,,,1,3,garment,garment,garment
shoe,shoe,,,,,,1,4,shoe,shoe,shoe
Skirts,Skirts,,,,garment,,1,5,Skirts,Skirts,Skirts
Handbags,Handbags,,,,bale,,1,6,Handbags,Handbags,Handbags
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,7,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Earrings,Earrings,,,,ornaments,,1,8,Earrings,Earrings,Earrings
Blouses,Blouses,,,,garment,,1,9,Blouses,Blouses,Blouses
Denim Shorts,Denim Shorts,,,,garment,,1,10,Denim Shorts,Denim Shorts,Denim Shorts
Heels,Heels,,,,shoe,,1,11,Heels,Heels,Heels
Tank Tops & Cam's,Tank Tops & Cam's,,,,garment,,1,12,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Rings,Rings,,,,ornaments,,1,13,Rings,Rings,Rings
