v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoe,shoe,,,,,,1,1,shoe,shoe,shoe
jewellery,jewellery,,,,,,1,2,jewellery,jewellery,jewellery
bale,bale,,,,,,1,3,bale,bale,bale
attire,attire,,,,,,1,4,attire,attire,attire
Pendant Necklaces,Pendant Necklaces,,,,jewellery,,1,5,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Dresses,Dresses,,,,attire,,1,6,Dresses,Dresses,Dresses
Denim Shorts,Denim Shorts,,,,attire,,1,7,Denim Shorts,Denim Shorts,Denim Shorts
Heels,Heels,,,,shoe,,1,8,Heels,Heels,Heels
Blouses,Blouses,,,,attire,,1,9,Blouses,Blouses,Blouses
Rings,Rings,,,,jewellery,,1,10,Rings,Rings,Rings
Wallets,Wallets,,,,bale,,1,11,Wallets,Wallets,Wallets
Shorts,Shorts,,,,attire,,1,12,Shorts,Shorts,Shorts
Sandals,Sandals,,,,shoe,,1,13,Sandals,Sandals,Sandals
