v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoes,shoes,,,,,,1,1,shoes,shoes,shoes
Backpack,Backpack,,,,,,1,2,Backpack,Backpack,Backpack
attire,attire,,,,,,1,3,attire,attire,attire
jewelry,jewelry,,,,,,1,4,jewelry,jewelry,jewelry
Sneakers & Athletic,Sneakers & Athletic,,,,shoes,,1,5,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Pendant Necklaces,Pendant Necklaces,,,,jewelry,,1,6,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Women Tops,Women Tops,,,,attire,,1,7,Women Tops,Women Tops,Women Tops
Tank Tops & Cam's,Tank Tops & Cam's,,,,attire,,1,8,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Skirts,Skirts,,,,attire,,1,9,Skirts,Skirts,Skirts
Bracelets,Bracelets,,,,jewelry,,1,10,Bracelets,Bracelets,Bracelets
Dresses,Dresses,,,,attire,,1,11,Dresses,Dresses,Dresses
Heels,Heels,,,,shoes,,1,12,Heels,Heels,Heels
Backpack,Backpack,,,,Backpack,,1,13,Backpack,Backpack,Backpack
