v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
Bags,Bags,,,,,,1,1,Bags,Bags,Bags
ornaments,ornaments,,,,,,1,2,ornaments,ornaments,ornaments
shoes,shoes,,,,,,1,3,shoes,shoes,shoes
habiliment,habiliment,,,,,,1,4,habiliment,habiliment,habiliment
Rings,Rings,,,,ornaments,,1,5,Rings,Rings,Rings
Sandals,Sandals,,,,shoes,,1,6,Sandals,Sandals,Sandals
T-Shirts,T-Shirts,,,,habiliment,,1,7,T-Shirts,T-Shirts,T-Shirts
Dresses,Dresses,,,,habiliment,,1,8,Dresses,Dresses,Dresses
Handbags,Handbags,,,,Bags,,1,9,Handbags,Handbags,Handbags
Blouses,Blouses,,,,habiliment,,1,10,Blouses,Blouses,Blouses
Flats,Flats,,,,shoes,,1,11,Flats,Flats,Flats
Pants,Pants,,,,habiliment,,1,12,Pants,Pants,Pants
Earrings,Earrings,,,,ornaments,,1,13,Earrings,Earrings,Earrings
