v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
clothes,clothes,,,,,,1,1,clothes,clothes,clothes
bale,bale,,,,,,1,2,bale,bale,bale
shoes,shoes,,,,,,1,3,shoes,shoes,shoes
ornaments,ornaments,,,,,,1,4,ornaments,ornaments,ornaments
Flats,Flats,,,,shoes,,1,5,Flats,Flats,Flats
Pendant Necklaces,Pendant Necklaces,,,,ornaments,,1,6,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Shorts,Shorts,,,,clothes,,1,7,Shorts,Shorts,Shorts
Handbags,Handbags,,,,bale,,1,8,Handbags,Handbags,Handbags
Pants,Pants,,,,clothes,,1,9,Pants,Pants,Pants
Bracelets,Bracelets,,,,ornaments,,1,10,Bracelets,Bracelets,Bracelets
Skirts,Skirts,,,,clothes,,1,11,Skirts,Skirts,Skirts
Sandals,Sandals,,,,shoes,,1,12,Sandals,Sandals,Sandals
Blouses,Blouses,,,,clothes,,1,13,Blouses,Blouses,Blouses
