v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
bale,bale,,,,,,1,1,bale,bale,bale
garment,garment,,,,,,1,2,garment,garment,garment
shoes,shoes,,,,,,1,3,shoes,shoes,shoes
jewellery,jewellery,,,,,,1,4,jewellery,jewellery,jewellery
Sandals,Sandals,,,,shoes,,1,5,Sandals,Sandals,Sandals
Sneakers & Athletic,Sneakers & Athletic,,,,shoes,,1,6,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Backpack,Backpack,,,,bale,,1,7,Backpack,Backpack,Backpack
Women Tops,Women Tops,,,,garment,,1,8,Women Tops,Women Tops,Women Tops
Pants,Pants,,,,garment,,1,9,Pants,Pants,Pants
Bracelets,Bracelets,,,,jewellery,,1,10,Bracelets,Bracelets,Bracelets
Blouses,Blouses,,,,garment,,1,11,Blouses,Blouses,Blouses
T-Shirts,T-Shirts,,,,garment,,1,12,T-Shirts,T-Shirts,T-Shirts
Pendant Necklaces,Pendant Necklaces,,,,jewellery,,1,13,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
