v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
costuming,costuming,,,,,,1,1,costuming,costuming,costuming
Handbags,Handbags,,,,,,1,2,Handbags,Handbags,Handbags
jewellery,jewellery,,,,,,1,3,jewellery,jewellery,jewellery
shoe,shoe,,,,,,1,4,shoe,shoe,shoe
Earrings,Earrings,,,,jewellery,,1,5,Earrings,Earrings,Earrings
T-Shirts,T-Shirts,,,,costuming,,1,6,T-Shirts,T-Shirts,T-Shirts
Denim Shorts,Denim Shorts,,,,costuming,,1,7,Denim Shorts,Denim Shorts,Denim Shorts
Tank Tops & Cam's,Tank Tops & Cam's,,,,costuming,,1,8,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Handbags,Handbags,,,,Handbags,,1,9,Handbags,Handbags,Handbags
Bracelets,Bracelets,,,,jewellery,,1,10,Bracelets,Bracelets,Bracelets
Women Tops,Women Tops,,,,costuming,,1,11,Women Tops,Women Tops,Women Tops
Sandals,Sandals,,,,shoe,,1,12,Sandals,Sandals,Sandals
Slippers,Slippers,,,,shoe,,1,13,Slippers,Slippers,Slippers
