v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
Backpack,Backpack,,,,,,1,1,Backpack,Backpack,Backpack
shoe,shoe,,,,,,1,2,shoe,shoe,shoe
jewelry,jewelry,,,,,,1,3,jewelry,jewelry,jewelry
costuming,costuming,,,,,,1,4,costuming,costuming,costuming
Bracelets,Bracelets,,,,jewelry,,1,5,Bracelets,Bracelets,Bracelets
Tank Tops & Cam's,Tank Tops & Cam's,,,,costuming,,1,6,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Backpack,Backpack,,,,Backpack,,1,7,Backpack,Backpack,Backpack
Pants,Pants,,,,costuming,,1,8,Pants,Pants,Pants
Denim Shorts,Denim Shorts,,,,costuming,,1,9,Denim Shorts,Denim Shorts,Denim Shorts
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,10,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Dresses,Dresses,,,,costuming,,1,11,Dresses,Dresses,Dresses
Sandals,Sandals,,,,shoe,,1,12,Sandals,Sandals,Sandals
Pendant Necklaces,Pendant Necklaces,,,,jewelry,,1,13,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
