v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
Handbags,Handbags,,,,,,1,1,Handbags,Handbags,Handbags
garment,garment,,,,,,1,2,garment,garment,garment
shoe,shoe,,,,,,1,3,shoe,shoe,shoe
jewellery,jewellery,,,,,,1,4,jewellery,jewellery,jewellery
Women Tops,Women Tops,,,,garment,,1,5,Women Tops,Women Tops,Women Tops
Handbags,Handbags,,,,Handbags,,1,6,Handbags,Handbags,Handbags
Sandals,Sandals,,,,shoe,,1,7,Sandals,Sandals,Sandals
Earrings,Earrings,,,,jewellery,,1,8,Earrings,Earrings,Earrings
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,9,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Shorts,Shorts,,,,garment,,1,10,Shorts,Shorts,Shorts
Tank Tops & Cam's,Tank Tops & Cam's,,,,garment,,1,11,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Dresses,Dresses,,,,garment,,1,12,Dresses,Dresses,Dresses
Bracelets,Bracelets,,,,jewellery,,1,13,Bracelets,Bracelets,Bracelets
