v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoes,shoes,,,,,,1,1,shoes,shoes,shoes
costuming,costuming,,,,,,1,2,costuming,costuming,costuming
jewellery,jewellery,,,,,,1,3,jewellery,jewellery,jewellery
Bag,Bag,,,,,,1,4,Bag,Bag,Bag
T-Shirts,T-Shirts,,,,costuming,,1,5,T-Shirts,T-Shirts,T-Shirts
Rings,Rings,,,,jewellery,,1,6,Rings,Rings,Rings
Pendant Necklaces,Pendant Necklaces,,,,jewellery,,1,7,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Flats,Flats,,,,shoes,,1,8,Flats,Flats,Flats
Handbags,Handbags,,,,Bag,,1,9,Handbags,Handbags,Handbags
Tank Tops & Cam's,Tank Tops & Cam's,,,,costuming,,1,10,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Heels,Heels,,,,shoes,,1,11,Heels,Heels,Heels
Blouses,Blouses,,,,costuming,,1,12,Blouses,Blouses,Blouses
Shorts,Shorts,,,,costuming,,1,13,Shorts,Shorts,Shorts
