v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
jewelry,jewelry,,,,,,1,1,jewelry,jewelry,jewelry
shoes,shoes,,,,,,1,2,shoes,shoes,shoes
bale,bale,,,,,,1,3,bale,bale,bale
garment,garment,,,,,,1,4,garment,garment,garment
Handbags,Handbags,,,,bale,,1,5,Handbags,Handbags,Handbags
Earrings,Earrings,,,,jewelry,,1,6,Earrings,Earrings,Earrings
Bracelets,Bracelets,,,,jewelry,,1,7,Bracelets,Bracelets,Bracelets
Dresses,Dresses,,,,garment,,1,8,Dresses,Dresses,Dresses
T-Shirts,T-Shirts,,,,garment,,1,9,T-Shirts,T-Shirts,T-Shirts
Shorts,Shorts,,,,garment,,1,10,Shorts,Shorts,Shorts
Flats,Flats,,,,shoes,,1,11,Flats,Flats,Flats
Slippers,Slippers,,,,shoes,,1,12,Slippers,Slippers,Slippers
Tank Tops & Cam's,Tank Tops & Cam's,,,,garment,,1,13,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
