v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoes,shoes,,,,,,1,1,shoes,shoes,shoes
garment,garment,,,,,,1,2,garment,garment,garment
bale,bale,,,,,,1,3,bale,bale,bale
jewellery,jewellery,,,,,,1,4,jewellery,jewellery,jewellery
Rings,Rings,,,,jewellery,,1,5,Rings,Rings,Rings
Women Tops,Women Tops,,,,garment,,1,6,Women Tops,Women Tops,Women Tops
Heels,Heels,,,,shoes,,1,7,Heels,Heels,Heels
Blouses,Blouses,,,,garment,,1,8,Blouses,Blouses,Blouses
Slippers,Slippers,,,,shoes,,1,9,Slippers,Slippers,Slippers
Shorts,Shorts,,,,garment,,1,10,Shorts,Shorts,Shorts
Handbags,Handbags,,,,bale,,1,11,Handbags,Handbags,Handbags
Pendant Necklaces,Pendant Necklaces,,,,jewellery,,1,12,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Tank Tops & Cam's,Tank Tops & Cam's,,,,garment,,1,13,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
