v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
clothes,clothes,,,,,,1,1,clothes,clothes,clothes
jewelry,jewelry,,,,,,1,2,jewelry,jewelry,jewelry
shoes,shoes,,,,,,1,3,shoes,shoes,shoes
Backpack,Backpack,,,,,,1,4,Backpack,Backpack,Backpack
Denim Shorts,Denim Shorts,,,,clothes,,1,5,Denim Shorts,Denim Shorts,Denim Shorts
Backpack,Backpack,,,,Backpack,,1,6,Backpack,Backpack,Backpack
Heels,Heels,,,,shoes,,1,7,Heels,Heels,Heels
Rings,Rings,,,,jewelry,,1,8,Rings,Rings,Rings
T-Shirts,T-Shirts,,,,clothes,,1,9,T-Shirts,T-Shirts,T-Shirts
Slippers,Slippers,,,,shoes,,1,10,Slippers,Slippers,Slippers
Bracelets,Bracelets,,,,jewelry,,1,11,Bracelets,Bracelets,Bracelets
Skirts,Skirts,,,,clothes,,1,12,Skirts,Skirts,Skirts
Pants,Pants,,,,clothes,,1,13,Pants,Pants,Pants
