v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
attire,attire,,,,,,1,1,attire,attire,attire
jewellery,jewellery,,,,,,1,2,jewellery,jewellery,jewellery
Handbags,Handbags,,,,,,1,3,Handbags,Handbags,Handbags
shoe,shoe,,,,,,1,4,shoe,shoe,shoe
T-Shirts,T-Shirts,,,,attire,,1,5,T-Shirts,T-Shirts,T-Shirts
Heels,Heels,,,,shoe,,1,6,Heels,Heels,Heels
Bracelets,Bracelets,,,,jewellery,,1,7,Bracelets,Bracelets,Bracelets
Women Tops,Women Tops,,,,attire,,1,8,Women Tops,Women Tops,Women Tops
Handbags,Handbags,,,,Handbags,,1,9,Handbags,Handbags,Handbags
Dresses,Dresses,,,,attire,,1,10,Dresses,Dresses,Dresses
Denim Shorts,Denim Shorts,,,,attire,,1,11,Denim Shorts,Denim Shorts,Denim Shorts
Slippers,Slippers,,,,shoe,,1,12,Slippers,Slippers,Slippers
Pendant Necklaces,Pendant Necklaces,,,,jewellery,,1,13,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
