v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
jewellery,jewellery,,,,,,1,1,jewellery,jewellery,jewellery
shoe,shoe,,,,,,1,2,shoe,shoe,shoe
garment,garment,,,,,,1,3,garment,garment,garment
Bag,Bag,,,,,,1,4,Bag,Bag,Bag
Wallets,Wallets,,,,Bag,,1,5,Wallets,Wallets,Wallets
Bracelets,Bracelets,,,,jewellery,,1,6,Bracelets,Bracelets,Bracelets
Blouses,Blouses,,,,garment,,1,7,Blouses,Blouses,Blouses
Sandals,Sandals,,,,shoe,,1,8,Sandals,Sandals,Sandals
Tank Tops & Cam's,Tank Tops & Cam's,,,,garment,,1,9,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Flats,Flats,,,,shoe,,1,10,Flats,Flats,Flats
Shorts,Shorts,,,,garment,,1,11,Shorts,Shorts,Shorts
Denim Shorts,Denim Shorts,,,,garment,,1,12,Denim Shorts,Denim Shorts,Denim Shorts
Earrings,Earrings,,,,jewellery,,1,13,Earrings,Earrings,Earrings
