v_sku,v_name,v_short_description,v_description,v_image,v_url,v_attribute,v_price,v_specials_price,v_specials_expire_date,v_date_added,v_in_stock,v_status,v_viewed,v_ordered,v_category_sku,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,v_brand_filter,v_class_filter,v_color_filter,v_gender_filter,v_material_filter,v_year_filter,v_origin_filter,v_series_filter,v_spec_filter
KLADJYT0001,Solid Lace Up  Shorts,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Dusty Pink</p><p><b>Pattern Type</b>: Plain</p><p><b>Season</b>: Summer</p><p><b>Type</b>: Wide Leg</p><p><b>Details</b>: Lace Up</p><p><b>Waist Line</b>: High Waist</p><p><b>Fit Type</b>: Loose</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Elastic Waist</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 95% Polyester</p><p><b>Composition</b>: 5% Elastane</p><p><b>Fabric</b>: Non-Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Shorts/swshorts23210601807.jpg,,Size#S:M:L:XL:,27.59,,,,1,1,,,Shorts,,Solid Lace Up  Shorts,Solid Lace Up  Shorts,Solid Lace Up  Shorts,,,,,,,,,
KLADJYT0002,Contrast Plaid Cargo Pants,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Multicolor</p><p><b>Pattern Type</b>: Plaid</p><p><b>Length</b>: Long</p><p><b>Season</b>: All</p><p><b>Type</b>: Cargo Pants</p><p><b>Details</b>: Pocket</p><p><b>Waist Line</b>: Natural</p><p><b>Fit Type</b>: Regular Fit</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Elastic Waist</p><p><b>Material</b>: Cotton</p><p><b>Composition</b>: 65% Cotton</p><p><b>Composition</b>: 35% Polyester</p><p><b>Fabric</b>: Non-Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Pants/rwpants25210518077.jpg,,Size#XS:S:M:L:,29.68,,,,1,1,,,Pants,,Contrast Plaid Cargo Pants,Contrast Plaid Cargo Pants,Contrast Plaid Cargo Pants,,,,,,,,,
KLADJYT0003,Solid Drawstring Cami Top,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Brown</p><p><b>Pattern Type</b>: Plain</p><p><b>Length</b>: Crop</p><p><b>Season</b>: Summer</p><p><b>Type</b>: Cami</p><p><b>Details</b>: Tie Front</p><p><b>Fit Type</b>: Slim Fit</p><p><b>Neckline</b>: Spaghetti Strap</p><p><b>Sheer</b>: No</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 100% Polyester</p><p><b>Fabric</b>: Medium Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Tank_Tops__Camis/rw2106241229857432.jpg,,Size#XS:S:M:L:,24.72,,,,1,1,,,Tank Tops & Cam's,,Solid Drawstring Cami Top,Solid Drawstring Cami Top,Solid Drawstring Cami Top,,,,,,,,,
KLADJYT0004,Raw Hem Button Fly Denim Shorts,,"<p><b>Color</b>: Black</p><p><b>Pattern Type</b>: Plain</p><p><b>Type</b>: Straight Leg</p><p><b>Details</b>: Raw Hem</p><p><b>Details</b>: Pocket</p><p><b>Details</b>: Washed</p><p><b>Details</b>: Button Front</p><p><b>Waist Line</b>: High Waist</p><p><b>Fit Type</b>: Regular Fit</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Button Fly</p><p><b>Material</b>: Denim</p><p><b>Composition</b>: 85% Cotton</p><p><b>Composition</b>: 13% Polyester</p><p><b>Composition</b>: 2% Spandex</p><p><b>Fabric</b>: High Stretch</p><p><b>Care Instructions</b>: Machine wash, do not dry clean</p>",img/Denim_Shorts/swshorts04210316841.jpg,,Size#26:27:28:29:30:,32.37,,,,1,1,,,Denim Shorts,,Raw Hem Button Fly Denim Shorts,Raw Hem Button Fly Denim Shorts,Raw Hem Button Fly Denim Shorts,,,,,,,,,
KLADJYT0005,3 Pcs Bohemia Flower Women Earrings Set Shell Tassel Pendant Earrings Jewelry Gift,,<p>Style: Bohemia</p><p>Type: Earrings Set</p><p>Color: Gold</p><p>Size: As the picture shown</p><p>Material: Alloy</p><p>Quantity: 3 pcs</p><p>1 x Earrings Set</p>,img/Earrings/SKUH01168.jpg,,Size#,28.77,,,,1,1,,,Earrings,,3 Pcs Bohemia Flower Women Earrings Set Shell Tassel Pendant Earrings Jewelry Gift,3 Pcs Bohemia Flower Women Earrings Set Shell Tassel Pendant Earrings Jewelry Gift,3 Pcs Bohemia Flower Women Earrings Set Shell Tassel Pendant Earrings Jewelry Gift,,,,,,,,,
KLADJYT0006,Elegant Blue Crystal Silver Rings Fashion Leaf Shape Ring Best Gift for Women,,"<p>Style: Elegant</p><p>Type: Finger Ring</p><p>Main Color: Silver</p><p>Weight: About 2.8g</p><p>Material: Copper Alloy, Crystal</p><p>Ring Size: 6 / 7 / 8 </p><p>(Please see the size reference for size conversion and detail information.)</p>",img/Rings/SKU988158.jpg,,Size#6:7:8:,28.89,,,,1,1,,,Rings,,Elegant Blue Crystal Silver Rings Fashion Leaf Shape Ring Best Gift for Women,Elegant Blue Crystal Silver Rings Fashion Leaf Shape Ring Best Gift for Women,Elegant Blue Crystal Silver Rings Fashion Leaf Shape Ring Best Gift for Women,,,,,,,,,
KLADJYT0007,Women Multi-function Splashproof Reflective Cartoon Pattern Large Capacity Mommy Backpack,,"<p>Color:Black, Pink, Silver</p><p>Material:Nylon</p><p>Style:Casual</p><p>Pattern:Cartoon</p><p>Capacity:14 Inch Laptop</p>",img/Backpack/SKUG95029.jpg,,Size#,62.82,,,,1,1,,,Backpack,,Women Multi-function Splashproof Reflective Cartoon Pattern Large Capacity Mommy Backpack,Women Multi-function Splashproof Reflective Cartoon Pattern Large Capacity Mommy Backpack,Women Multi-function Splashproof Reflective Cartoon Pattern Large Capacity Mommy Backpack,,,,,,,,,
KLADJYT0008,Men Outdoor Hollow Out Microfiber Leather Hiking Shoes,,"<p>Color:Black, Grey</p><p>Upper Material:PU</p><p>Outsole Material:Rubber</p><p>Type:Outdoor Shoes, Hiking Shoes</p><p>Function:Breathable, Hard-wearing, Sport, Slip Resistant</p><p>Occasion:Outdoor, Sport, Camping & Hiking</p><p>Closure Type:Lace-up</p><p>Season:All Season</p><p>Toe Type:Round</p>",img/Sneakers__Athletic/SKUH36962.jpg,,Size#US 6.5:US 7.5:US 8:US 8.5:US 9:US 10:US 10.5:US 11:US 11.5:,63.51,,,,1,1,,,Sneakers & Athletic,,Men Outdoor Hollow Out Microfiber Leather Hiking Shoes,Men Outdoor Hollow Out Microfiber Leather Hiking Shoes,Men Outdoor Hollow Out Microfiber Leather Hiking Shoes,,,,,,,,,
KLADJYT0009,SOCOFY Vintage Paisley Contrast Splicing Leather Elastic Strap Slip on Wedge Casual Shoes,,"<p>Color:Blue</p><p>Type:Loafers</p><p>Closure Type:Slip-On</p><p>Heel Type:Flat</p><p>Heel Height:1-3cm In Flat</p><p>Toe Type:Round</p><p>Pattern:Tribal, Striped, Calico</p><p>Design Element:Print</p><p>Upper Material:Leather</p><p>Style:Bohemia</p><p>Outsole Material:Rubber</p><p>Structure:Cross Strap, Closed Toe, Elastic Band</p><p>Occasion:Daily</p><p>Function:Breathable, Soft</p><p>Season:Autumn, Spring</p>",img/Flats/SKUF57899.jpg,,Size#US 5:US 6:US 7:US 8:US 9.5:US 10.5:US 11.5:,61.53,,,,1,1,,,Flats,,SOCOFY Vintage Paisley Contrast Splicing Leather Elastic Strap Slip on Wedge Casual Shoes,SOCOFY Vintage Paisley Contrast Splicing Leather Elastic Strap Slip on Wedge Casual Shoes,SOCOFY Vintage Paisley Contrast Splicing Leather Elastic Strap Slip on Wedge Casual Shoes,,,,,,,,,
KLADJYT0010,Drawstring Waist Track Shorts,,<p><b>Style</b>: Sporty</p><p><b>Color</b>: Black</p><p><b>Pattern Type</b>: Plain</p><p><b>Type</b>: Track Shorts</p><p><b>Season</b>: Spring/Summer/Fall</p><p><b>Details</b>: Drawstring</p><p><b>Details</b>: Pocket</p><p><b>Waist Line</b>: High Waist</p><p><b>Fit Type</b>: Regular Fit</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Drawstring Waist</p><p><b>Material</b>: Cotton</p><p><b>Composition</b>: 60% Cotton</p><p><b>Composition</b>: 40% Polyester</p><p><b>Fabric</b>: Medium Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Shorts/swshorts07210527843.jpg,,Size#Petite XXS:Petite XS:Petite S:Petite M:Petite L:,31.97,,,,1,1,,,Shorts,,Drawstring Waist Track Shorts,Drawstring Waist Track Shorts,Drawstring Waist Track Shorts,,,,,,,,,
