v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
packet,packet,,,,,,1,1,packet,packet,packet
ornaments,ornaments,,,,,,1,2,ornaments,ornaments,ornaments
shoe,shoe,,,,,,1,3,shoe,shoe,shoe
habiliment,habiliment,,,,,,1,4,habiliment,habiliment,habiliment
Shorts,Shorts,,,,habiliment,,1,5,Shorts,Shorts,Shorts
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,6,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Pants,Pants,,,,habiliment,,1,7,Pants,Pants,Pants
Tank Tops & Cam's,Tank Tops & Cam's,,,,habiliment,,1,8,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Denim Shorts,Denim Shorts,,,,habiliment,,1,9,Denim Shorts,Denim Shorts,Denim Shorts
Rings,Rings,,,,ornaments,,1,10,Rings,Rings,Rings
Earrings,Earrings,,,,ornaments,,1,11,Earrings,Earrings,Earrings
Flats,Flats,,,,shoe,,1,12,Flats,Flats,Flats
Backpack,Backpack,,,,packet,,1,13,Backpack,Backpack,Backpack
