v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
jewelry,jewelry,,,,,,1,1,jewelry,jewelry,jewelry
habiliment,habiliment,,,,,,1,2,habiliment,habiliment,habiliment
packet,packet,,,,,,1,3,packet,packet,packet
shoes,shoes,,,,,,1,4,shoes,shoes,shoes
Women Tops,Women Tops,,,,habiliment,,1,5,Women Tops,Women Tops,Women Tops
Rings,Rings,,,,jewelry,,1,6,Rings,Rings,Rings
Dresses,Dresses,,,,habiliment,,1,7,Dresses,Dresses,Dresses
Bracelets,Bracelets,,,,jewelry,,1,8,Bracelets,Bracelets,Bracelets
Shorts,Shorts,,,,habiliment,,1,9,Shorts,Shorts,Shorts
Blouses,Blouses,,,,habiliment,,1,10,Blouses,Blouses,Blouses
Slippers,Slippers,,,,shoes,,1,11,Slippers,Slippers,Slippers
Flats,Flats,,,,shoes,,1,12,Flats,Flats,Flats
Wallets,Wallets,,,,packet,,1,13,Wallets,Wallets,Wallets
