v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
Bags,Bags,,,,,,1,1,Bags,Bags,Bags
ornaments,ornaments,,,,,,1,2,ornaments,ornaments,ornaments
shoes,shoes,,,,,,1,3,shoes,shoes,shoes
habiliment,habiliment,,,,,,1,4,habiliment,habiliment,habiliment
Shorts,Shorts,,,,habiliment,,1,5,Shorts,Shorts,Shorts
Dresses,Dresses,,,,habiliment,,1,6,Dresses,Dresses,Dresses
Handbags,Handbags,,,,Bags,,1,7,Handbags,Handbags,Handbags
Earrings,Earrings,,,,ornaments,,1,8,Earrings,Earrings,Earrings
Slippers,Slippers,,,,shoes,,1,9,Slippers,Slippers,Slippers
Pants,Pants,,,,habiliment,,1,10,Pants,Pants,Pants
Pendant Necklaces,Pendant Necklaces,,,,ornaments,,1,11,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Skirts,Skirts,,,,habiliment,,1,12,Skirts,Skirts,Skirts
Sneakers & Athletic,Sneakers & Athletic,,,,shoes,,1,13,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
