v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
Backpack,Backpack,,,,,,1,1,Backpack,Backpack,Backpack
garment,garment,,,,,,1,2,garment,garment,garment
jewelry,jewelry,,,,,,1,3,jewelry,jewelry,jewelry
shoes,shoes,,,,,,1,4,shoes,shoes,shoes
Dresses,Dresses,,,,garment,,1,5,Dresses,Dresses,Dresses
Heels,Heels,,,,shoes,,1,6,Heels,Heels,Heels
Rings,Rings,,,,jewelry,,1,7,Rings,Rings,Rings
T-Shirts,T-Shirts,,,,garment,,1,8,T-Shirts,T-Shirts,T-Shirts
Slippers,Slippers,,,,shoes,,1,9,Slippers,Slippers,Slippers
Women Tops,Women Tops,,,,garment,,1,10,Women Tops,Women Tops,Women Tops
Backpack,Backpack,,,,Backpack,,1,11,Backpack,Backpack,Backpack
Denim Shorts,Denim Shorts,,,,garment,,1,12,Denim Shorts,Denim Shorts,Denim Shorts
Pendant Necklaces,Pendant Necklaces,,,,jewelry,,1,13,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
