v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
garment,garment,,,,,,1,1,garment,garment,garment
packet,packet,,,,,,1,2,packet,packet,packet
jewelry,jewelry,,,,,,1,3,jewelry,jewelry,jewelry
shoe,shoe,,,,,,1,4,shoe,shoe,shoe
Rings,Rings,,,,jewelry,,1,5,Rings,Rings,Rings
Skirts,Skirts,,,,garment,,1,6,Skirts,Skirts,Skirts
Heels,Heels,,,,shoe,,1,7,Heels,Heels,Heels
Bracelets,Bracelets,,,,jewelry,,1,8,Bracelets,Bracelets,Bracelets
Women Tops,Women Tops,,,,garment,,1,9,Women Tops,Women Tops,Women Tops
Wallets,Wallets,,,,packet,,1,10,Wallets,Wallets,Wallets
Dresses,Dresses,,,,garment,,1,11,Dresses,Dresses,Dresses
Blouses,Blouses,,,,garment,,1,12,Blouses,Blouses,Blouses
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,13,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
