v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
Backpack,Backpack,,,,,,1,1,Backpack,Backpack,Backpack
ornaments,ornaments,,,,,,1,2,ornaments,ornaments,ornaments
clothing,clothing,,,,,,1,3,clothing,clothing,clothing
shoes,shoes,,,,,,1,4,shoes,shoes,shoes
Bracelets,Bracelets,,,,ornaments,,1,5,Bracelets,Bracelets,Bracelets
Rings,Rings,,,,ornaments,,1,6,Rings,Rings,Rings
Backpack,Backpack,,,,Backpack,,1,7,Backpack,Backpack,Backpack
Heels,Heels,,,,shoes,,1,8,Heels,Heels,Heels
Dresses,Dresses,,,,clothing,,1,9,Dresses,Dresses,Dresses
Denim Shorts,Denim Shorts,,,,clothing,,1,10,Denim Shorts,Denim Shorts,Denim Shorts
Skirts,Skirts,,,,clothing,,1,11,Skirts,Skirts,Skirts
Tank Tops & Cam's,Tank Tops & Cam's,,,,clothing,,1,12,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Flats,Flats,,,,shoes,,1,13,Flats,Flats,Flats
