v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
clothes,clothes,,,,,,1,1,clothes,clothes,clothes
Handbags,Handbags,,,,,,1,2,Handbags,Handbags,Handbags
shoe,shoe,,,,,,1,3,shoe,shoe,shoe
jewelry,jewelry,,,,,,1,4,jewelry,jewelry,jewelry
Slippers,Slippers,,,,shoe,,1,5,Slippers,Slippers,Slippers
T-Shirts,T-Shirts,,,,clothes,,1,6,T-Shirts,T-Shirts,T-Shirts
Bracelets,Bracelets,,,,jewelry,,1,7,Bracelets,Bracelets,Bracelets
Handbags,Handbags,,,,Handbags,,1,8,Handbags,Handbags,Handbags
Pendant Necklaces,Pendant Necklaces,,,,jewelry,,1,9,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Shorts,Shorts,,,,clothes,,1,10,Shorts,Shorts,Shorts
Heels,Heels,,,,shoe,,1,11,Heels,Heels,Heels
Skirts,Skirts,,,,clothes,,1,12,Skirts,Skirts,Skirts
Denim Shorts,Denim Shorts,,,,clothes,,1,13,Denim Shorts,Denim Shorts,Denim Shorts
