v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoes,shoes,,,,,,1,1,shoes,shoes,shoes
Backpack,Backpack,,,,,,1,2,Backpack,Backpack,Backpack
jewelry,jewelry,,,,,,1,3,jewelry,jewelry,jewelry
clothes,clothes,,,,,,1,4,clothes,clothes,clothes
Blouses,Blouses,,,,clothes,,1,5,Blouses,Blouses,Blouses
Skirts,Skirts,,,,clothes,,1,6,Skirts,Skirts,Skirts
Sneakers & Athletic,Sneakers & Athletic,,,,shoes,,1,7,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Women Tops,Women Tops,,,,clothes,,1,8,Women Tops,Women Tops,Women Tops
Denim Shorts,Denim Shorts,,,,clothes,,1,9,Denim Shorts,Denim Shorts,Denim Shorts
Heels,Heels,,,,shoes,,1,10,Heels,Heels,Heels
Rings,Rings,,,,jewelry,,1,11,Rings,Rings,Rings
Pendant Necklaces,Pendant Necklaces,,,,jewelry,,1,12,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Backpack,Backpack,,,,Backpack,,1,13,Backpack,Backpack,Backpack
