v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
jewellery,jewellery,,,,,,1,1,jewellery,jewellery,jewellery
garment,garment,,,,,,1,2,garment,garment,garment
Wallets,Wallets,,,,,,1,3,Wallets,Wallets,Wallets
shoe,shoe,,,,,,1,4,shoe,shoe,shoe
Tank Tops & Cam's,Tank Tops & Cam's,,,,garment,,1,5,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Shorts,Shorts,,,,garment,,1,6,Shorts,Shorts,Shorts
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,7,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Pendant Necklaces,Pendant Necklaces,,,,jewellery,,1,8,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Slippers,Slippers,,,,shoe,,1,9,Slippers,Slippers,Slippers
Wallets,Wallets,,,,Wallets,,1,10,Wallets,Wallets,Wallets
Blouses,Blouses,,,,garment,,1,11,Blouses,Blouses,Blouses
Skirts,Skirts,,,,garment,,1,12,Skirts,Skirts,Skirts
Earrings,Earrings,,,,jewellery,,1,13,Earrings,Earrings,Earrings
