v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
jewellery,jewellery,,,,,,1,1,jewellery,jewellery,jewellery
shoes,shoes,,,,,,1,2,shoes,shoes,shoes
clothes,clothes,,,,,,1,3,clothes,clothes,clothes
Wallets,Wallets,,,,,,1,4,Wallets,Wallets,Wallets
Dresses,Dresses,,,,clothes,,1,5,Dresses,Dresses,Dresses
Bracelets,Bracelets,,,,jewellery,,1,6,Bracelets,Bracelets,Bracelets
Pants,Pants,,,,clothes,,1,7,Pants,Pants,Pants
Heels,Heels,,,,shoes,,1,8,Heels,Heels,Heels
Sneakers & Athletic,Sneakers & Athletic,,,,shoes,,1,9,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Wallets,Wallets,,,,Wallets,,1,10,Wallets,Wallets,Wallets
Tank Tops & Cam's,Tank Tops & Cam's,,,,clothes,,1,11,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Rings,Rings,,,,jewellery,,1,12,Rings,Rings,Rings
Women Tops,Women Tops,,,,clothes,,1,13,Women Tops,Women Tops,Women Tops
