v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
Bags,Bags,,,,,,1,1,Bags,Bags,Bags
shoe,shoe,,,,,,1,2,shoe,shoe,shoe
jewellery,jewellery,,,,,,1,3,jewellery,jewellery,jewellery
attire,attire,,,,,,1,4,attire,attire,attire
Bracelets,Bracelets,,,,jewellery,,1,5,Bracelets,Bracelets,Bracelets
Tank Tops & Cam's,Tank Tops & Cam's,,,,attire,,1,6,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Blouses,Blouses,,,,attire,,1,7,Blouses,Blouses,Blouses
Dresses,Dresses,,,,attire,,1,8,Dresses,Dresses,Dresses
Women Tops,Women Tops,,,,attire,,1,9,Women Tops,Women Tops,Women Tops
Sandals,Sandals,,,,shoe,,1,10,Sandals,Sandals,Sandals
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,11,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Earrings,Earrings,,,,jewellery,,1,12,Earrings,Earrings,Earrings
Handbags,Handbags,,,,Bags,,1,13,Handbags,Handbags,Handbags
