v_sku,v_name,v_short_description,v_description,v_image,v_url,v_attribute,v_price,v_specials_price,v_specials_expire_date,v_date_added,v_in_stock,v_status,v_viewed,v_ordered,v_category_sku,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,v_brand_filter,v_class_filter,v_color_filter,v_gender_filter,v_material_filter,v_year_filter,v_origin_filter,v_series_filter,v_spec_filter
NCRYPIS0001,Floral & Figure Print Shorts,,<p><b>Style</b>: Boho</p><p><b>Color</b>: Multicolor</p><p><b>Pattern Type</b>: All Over Print</p><p><b>Type</b>: Straight Leg</p><p><b>Season</b>: Summer</p><p><b>Waist Line</b>: High Waist</p><p><b>Fit Type</b>: Regular Fit</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Elastic Waist</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 95% Polyester</p><p><b>Composition</b>: 5% Elastane</p><p><b>Fabric</b>: Non-Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Shorts/swshorts25210510021.jpg,,Size#XS:S:M:L:,25.05,,,,1,1,,,Shorts,,Floral & Figure Print Shorts,Floral & Figure Print Shorts,Floral & Figure Print Shorts,,,,,,,,,
NCRYPIS0002,Drawstring Ruched Front Schiffy Skirt,,<p><b>Style</b>: Boho</p><p><b>Color</b>: White</p><p><b>Pattern Type</b>: Plain</p><p><b>Length</b>: Mini</p><p><b>Type</b>: Bodycon</p><p><b>Season</b>: Summer</p><p><b>Details</b>: Knot</p><p><b>Details</b>: Drawstring</p><p><b>Details</b>: Ruched</p><p><b>Details</b>: Zipper</p><p><b>Details</b>: Eyelet Embroidery</p><p><b>Waist Line</b>: High Waist</p><p><b>Sheer</b>: No</p><p><b>Body</b>: Lined</p><p><b>Material</b>: Schiffy</p><p><b>Composition</b>: 100% Cotton</p><p><b>Fabric</b>: Non-Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Skirts/swskirt07210120019.jpg,,Size#XS:S:M:L:XL:,29.73,,,,1,1,,,Skirts,,Drawstring Ruched Front Schiffy Skirt,Drawstring Ruched Front Schiffy Skirt,Drawstring Ruched Front Schiffy Skirt,,,,,,,,,
NCRYPIS0003,Mushroom Embroidery Ribbed Tank Top,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Black</p><p><b>Pattern Type</b>: Cartoon</p><p><b>Length</b>: Crop</p><p><b>Season</b>: Summer</p><p><b>Type</b>: Tank</p><p><b>Details</b>: Embroidery</p><p><b>Neckline</b>: Scoop Neck</p><p><b>Fit Type</b>: Slim Fit</p><p><b>Sheer</b>: No</p><p><b>Material</b>: Cotton</p><p><b>Composition</b>: 65% Cotton</p><p><b>Composition</b>: 35% Polyester</p><p><b>Fabric</b>: Slight Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Tank_Tops__Camis/rwvest01210106833.jpg,,Size#XS:S:M:L:,25.02,,,,1,1,,,Tank Tops & Cam's,,Mushroom Embroidery Ribbed Tank Top,Mushroom Embroidery Ribbed Tank Top,Mushroom Embroidery Ribbed Tank Top,,,,,,,,,
NCRYPIS0004,Colorblock Roll Up Hem Denim Shorts,,"<p><b>Color</b>: Multicolor</p><p><b>Pattern Type</b>: Colorblock</p><p><b>Type</b>: Straight Leg</p><p><b>Details</b>: Pocket</p><p><b>Waist Line</b>: Natural</p><p><b>Fit Type</b>: Regular Fit</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Zipper Fly</p><p><b>Material</b>: Denim</p><p><b>Composition</b>: 85% Cotton</p><p><b>Composition</b>: 15% Polyester</p><p><b>Fabric</b>: Non-Stretch</p><p><b>Care Instructions</b>: Machine wash, do not dry clean</p>",img/Denim_Shorts/swshorts03201120925.jpg,,Size#XS:S:M:L:,23.92,,,,1,1,,,Denim Shorts,,Colorblock Roll Up Hem Denim Shorts,Colorblock Roll Up Hem Denim Shorts,Colorblock Roll Up Hem Denim Shorts,,,,,,,,,
NCRYPIS0005,Vintage Drop-Shaped Women Earrings Colored Glass Chalcedony Pendant Earrings,,"<p>Style: Vintage </p><p>Type: Earrings</p><p>Color: Ancient Silver</p><p>Weight: 7g</p><p>Size: About 3.8*2.1 cm / 1.50*0.83''</p><p>Material: 925 Silver Plated, Glass</p><p>1 x Earrings</p>",img/Earrings/SKUG15302.jpg,,Size#,20.65,,,,1,1,,,Earrings,,Vintage Drop-Shaped Women Earrings Colored Glass Chalcedony Pendant Earrings,Vintage Drop-Shaped Women Earrings Colored Glass Chalcedony Pendant Earrings,Vintage Drop-Shaped Women Earrings Colored Glass Chalcedony Pendant Earrings,,,,,,,,,
NCRYPIS0006,Vintage Cuff Bracelet Water Drop Rhinestone Heart Gold Plated Bangle Ethnic Jewelry for Women,,"<p>
	</p><p>
	</p><p>
	</p><p>
	</p><p>
	</p><p>
	</p><p>
</p><p>
	 </p><p>Notice:</p>",img/Bracelets/SKUA16862.jpg,,Size#,18.11,,,,1,1,,,Bracelets,,Vintage Cuff Bracelet Water Drop Rhinestone Heart Gold Plated Bangle Ethnic Jewelry for Women,Vintage Cuff Bracelet Water Drop Rhinestone Heart Gold Plated Bangle Ethnic Jewelry for Women,Vintage Cuff Bracelet Water Drop Rhinestone Heart Gold Plated Bangle Ethnic Jewelry for Women,,,,,,,,,
NCRYPIS0007,Women 4Pcs Bear School Student Pencil Case Backpack Tote Crossbody Bag,,"<p>Color:Black, Green, Pink, Yellow</p><p>Material:Canvas</p><p>Style:Preppy, Casual</p><p>Decoration:Cartoon</p><p>Capacity:4A Magazine</p>",img/Backpack/SKUF72349.jpg,,Size#,62.04,,,,1,1,,,Backpack,,Women 4Pcs Bear School Student Pencil Case Backpack Tote Crossbody Bag,Women 4Pcs Bear School Student Pencil Case Backpack Tote Crossbody Bag,Women 4Pcs Bear School Student Pencil Case Backpack Tote Crossbody Bag,,,,,,,,,
NCRYPIS0008,Men Light Weight Lace Up Sport Casual Chunky Sneakers,,"<p>Color:Black</p><p>Upper Material:PU</p><p>Outsole Material:PU</p><p>Type:Chunky Sneaker shoes</p><p>Function:Light Weight, Breathable</p><p>Occasion:Daily, School, Board</p><p>Closure Type:Lace-up</p><p>Season:All Season</p><p>Toe Type:Round</p>",img/Sneakers__Athletic/SKUH24464.jpg,,Size#US 6.5:US 7.5:US 8:US 8.5:US 9:US 10:,50.68,,,,1,1,,,Sneakers & Athletic,,Men Light Weight Lace Up Sport Casual Chunky Sneakers,Men Light Weight Lace Up Sport Casual Chunky Sneakers,Men Light Weight Lace Up Sport Casual Chunky Sneakers,,,,,,,,,
NCRYPIS0009,SOCOFY Retro Flowers Printed Leather Handmade Hook Loop Casual Chunky Heels,,"<p>Color:Red, Purple, Black</p><p>Type:Mary Jane</p><p>Closure Type:Hook & Loop</p><p>Heel Type:Chunky Heel</p><p>Heel Height:1-3cm In Flat</p><p>Toe Type:Round</p><p>Pattern:Calico</p><p>Design Element:Print</p><p>Upper Material:Leather</p><p>Style:Retro, Classic, Ethnic, Elegant</p><p>Outsole Material:Rubber</p><p>Structure:Hook & Loop</p><p>Occasion:Date, Prom, Party, Casual, Versatile</p><p>Function:Hard-wearing</p><p>Season:Summer, Spring, Spring&Fall</p>",img/Heels/SKUG29495.jpg,,Size#35:US 5:US 6:US 7:US 8:US 9:,61.05,,,,1,1,,,Heels,,SOCOFY Retro Flowers Printed Leather Handmade Hook Loop Casual Chunky Heels,SOCOFY Retro Flowers Printed Leather Handmade Hook Loop Casual Chunky Heels,SOCOFY Retro Flowers Printed Leather Handmade Hook Loop Casual Chunky Heels,,,,,,,,,
NCRYPIS0010,Chain Print Track Shorts,,<p><b>Style</b>: Casual</p><p><b>Color</b>: Black</p><p><b>Pattern Type</b>: Striped</p><p><b>Season</b>: Summer</p><p><b>Type</b>: Track Shorts</p><p><b>Details</b>: Contrast Binding</p><p><b>Waist Line</b>: Natural</p><p><b>Fit Type</b>: Regular Fit</p><p><b>Sheer</b>: No</p><p><b>Closure Type</b>: Elastic Waist</p><p><b>Material</b>: Polyester</p><p><b>Composition</b>: 95% Polyester</p><p><b>Composition</b>: 5% Elastane</p><p><b>Fabric</b>: Slight Stretch</p><p><b>Care Instructions</b>: Machine wash or professional dry clean</p>,img/Shorts/swshorts07210319058.jpg,,Size#XS:S:M:L:XL:,23.22,,,,1,1,,,Shorts,,Chain Print Track Shorts,Chain Print Track Shorts,Chain Print Track Shorts,,,,,,,,,
