v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
costuming,costuming,,,,,,1,1,costuming,costuming,costuming
shoe,shoe,,,,,,1,2,shoe,shoe,shoe
ornaments,ornaments,,,,,,1,3,ornaments,ornaments,ornaments
Backpack,Backpack,,,,,,1,4,Backpack,Backpack,Backpack
Backpack,Backpack,,,,Backpack,,1,5,Backpack,Backpack,Backpack
Tank Tops & Cam's,Tank Tops & Cam's,,,,costuming,,1,6,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Heels,Heels,,,,shoe,,1,7,Heels,Heels,Heels
Denim Shorts,Denim Shorts,,,,costuming,,1,8,Denim Shorts,Denim Shorts,Denim Shorts
Bracelets,Bracelets,,,,ornaments,,1,9,Bracelets,Bracelets,Bracelets
Shorts,Shorts,,,,costuming,,1,10,Shorts,Shorts,Shorts
Earrings,Earrings,,,,ornaments,,1,11,Earrings,Earrings,Earrings
Skirts,Skirts,,,,costuming,,1,12,Skirts,Skirts,Skirts
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,13,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
