v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
garment,garment,,,,,,1,1,garment,garment,garment
ornaments,ornaments,,,,,,1,2,ornaments,ornaments,ornaments
Bag,Bag,,,,,,1,3,Bag,Bag,Bag
shoes,shoes,,,,,,1,4,shoes,shoes,shoes
Shorts,Shorts,,,,garment,,1,5,Shorts,Shorts,Shorts
Tank Tops & Cam's,Tank Tops & Cam's,,,,garment,,1,6,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Sneakers & Athletic,Sneakers & Athletic,,,,shoes,,1,7,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Rings,Rings,,,,ornaments,,1,8,Rings,Rings,Rings
Women Tops,Women Tops,,,,garment,,1,9,Women Tops,Women Tops,Women Tops
Pants,Pants,,,,garment,,1,10,Pants,Pants,Pants
Earrings,Earrings,,,,ornaments,,1,11,Earrings,Earrings,Earrings
Handbags,Handbags,,,,Bag,,1,12,Handbags,Handbags,Handbags
Flats,Flats,,,,shoes,,1,13,Flats,Flats,Flats
