v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoe,shoe,,,,,,1,1,shoe,shoe,shoe
ornaments,ornaments,,,,,,1,2,ornaments,ornaments,ornaments
garment,garment,,,,,,1,3,garment,garment,garment
packet,packet,,,,,,1,4,packet,packet,packet
Shorts,Shorts,,,,garment,,1,5,Shorts,Shorts,Shorts
Slippers,Slippers,,,,shoe,,1,6,Slippers,Slippers,Slippers
Handbags,Handbags,,,,packet,,1,7,Handbags,Handbags,Handbags
Blouses,Blouses,,,,garment,,1,8,Blouses,Blouses,Blouses
Skirts,Skirts,,,,garment,,1,9,Skirts,Skirts,Skirts
Sneakers & Athletic,Sneakers & Athletic,,,,shoe,,1,10,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Pendant Necklaces,Pendant Necklaces,,,,ornaments,,1,11,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Dresses,Dresses,,,,garment,,1,12,Dresses,Dresses,Dresses
Earrings,Earrings,,,,ornaments,,1,13,Earrings,Earrings,Earrings
