v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
clothing,clothing,,,,,,1,1,clothing,clothing,clothing
ornaments,ornaments,,,,,,1,2,ornaments,ornaments,ornaments
bale,bale,,,,,,1,3,bale,bale,bale
shoes,shoes,,,,,,1,4,shoes,shoes,shoes
Shorts,Shorts,,,,clothing,,1,5,Shorts,Shorts,Shorts
Skirts,Skirts,,,,clothing,,1,6,Skirts,Skirts,Skirts
Bracelets,Bracelets,,,,ornaments,,1,7,Bracelets,Bracelets,Bracelets
Sneakers & Athletic,Sneakers & Athletic,,,,shoes,,1,8,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Rings,Rings,,,,ornaments,,1,9,Rings,Rings,Rings
Heels,Heels,,,,shoes,,1,10,Heels,Heels,Heels
Dresses,Dresses,,,,clothing,,1,11,Dresses,Dresses,Dresses
Wallets,Wallets,,,,bale,,1,12,Wallets,Wallets,Wallets
Women Tops,Women Tops,,,,clothing,,1,13,Women Tops,Women Tops,Women Tops
