v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
jewelry,jewelry,,,,,,1,1,jewelry,jewelry,jewelry
garment,garment,,,,,,1,2,garment,garment,garment
Wallets,Wallets,,,,,,1,3,Wallets,Wallets,Wallets
shoe,shoe,,,,,,1,4,shoe,shoe,shoe
Rings,Rings,,,,jewelry,,1,5,Rings,Rings,Rings
T-Shirts,T-Shirts,,,,garment,,1,6,T-Shirts,T-Shirts,T-Shirts
Sandals,Sandals,,,,shoe,,1,7,Sandals,Sandals,Sandals
Pants,Pants,,,,garment,,1,8,Pants,Pants,Pants
Earrings,Earrings,,,,jewelry,,1,9,Earrings,Earrings,Earrings
Slippers,Slippers,,,,shoe,,1,10,Slippers,Slippers,Slippers
Blouses,Blouses,,,,garment,,1,11,Blouses,Blouses,Blouses
Wallets,Wallets,,,,Wallets,,1,12,Wallets,Wallets,Wallets
Tank Tops & Cam's,Tank Tops & Cam's,,,,garment,,1,13,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
