v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoes,shoes,,,,,,1,1,shoes,shoes,shoes
Bag,Bag,,,,,,1,2,Bag,Bag,Bag
jewellery,jewellery,,,,,,1,3,jewellery,jewellery,jewellery
clothes,clothes,,,,,,1,4,clothes,clothes,clothes
Bracelets,Bracelets,,,,jewellery,,1,5,Bracelets,Bracelets,Bracelets
Earrings,Earrings,,,,jewellery,,1,6,Earrings,Earrings,Earrings
Shorts,Shorts,,,,clothes,,1,7,Shorts,Shorts,Shorts
Sneakers & Athletic,Sneakers & Athletic,,,,shoes,,1,8,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Women Tops,Women Tops,,,,clothes,,1,9,Women Tops,Women Tops,Women Tops
Dresses,Dresses,,,,clothes,,1,10,Dresses,Dresses,Dresses
Backpack,Backpack,,,,Bag,,1,11,Backpack,Backpack,Backpack
Flats,Flats,,,,shoes,,1,12,Flats,Flats,Flats
Blouses,Blouses,,,,clothes,,1,13,Blouses,Blouses,Blouses
