v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoes,shoes,,,,,,1,1,shoes,shoes,shoes
Wallets,Wallets,,,,,,1,2,Wallets,Wallets,Wallets
jewellery,jewellery,,,,,,1,3,jewellery,jewellery,jewellery
garment,garment,,,,,,1,4,garment,garment,garment
Wallets,Wallets,,,,Wallets,,1,5,Wallets,Wallets,Wallets
Rings,Rings,,,,jewellery,,1,6,Rings,Rings,Rings
Dresses,Dresses,,,,garment,,1,7,Dresses,Dresses,Dresses
Shorts,Shorts,,,,garment,,1,8,Shorts,Shorts,Shorts
Sneakers & Athletic,Sneakers & Athletic,,,,shoes,,1,9,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Skirts,Skirts,,,,garment,,1,10,Skirts,Skirts,Skirts
Pendant Necklaces,Pendant Necklaces,,,,jewellery,,1,11,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Flats,Flats,,,,shoes,,1,12,Flats,Flats,Flats
Denim Shorts,Denim Shorts,,,,garment,,1,13,Denim Shorts,Denim Shorts,Denim Shorts
