v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
Handbags,Handbags,,,,,,1,1,Handbags,Handbags,Handbags
jewellery,jewellery,,,,,,1,2,jewellery,jewellery,jewellery
habiliment,habiliment,,,,,,1,3,habiliment,habiliment,habiliment
shoe,shoe,,,,,,1,4,shoe,shoe,shoe
Sandals,Sandals,,,,shoe,,1,5,Sandals,Sandals,Sandals
T-Shirts,T-Shirts,,,,habiliment,,1,6,T-Shirts,T-Shirts,T-Shirts
Denim Shorts,Denim Shorts,,,,habiliment,,1,7,Denim Shorts,Denim Shorts,Denim Shorts
Blouses,Blouses,,,,habiliment,,1,8,Blouses,Blouses,Blouses
Bracelets,Bracelets,,,,jewellery,,1,9,Bracelets,Bracelets,Bracelets
Handbags,Handbags,,,,Handbags,,1,10,Handbags,Handbags,Handbags
Pants,Pants,,,,habiliment,,1,11,Pants,Pants,Pants
Rings,Rings,,,,jewellery,,1,12,Rings,Rings,Rings
Heels,Heels,,,,shoe,,1,13,Heels,Heels,Heels
