v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoes,shoes,,,,,,1,1,shoes,shoes,shoes
packet,packet,,,,,,1,2,packet,packet,packet
ornaments,ornaments,,,,,,1,3,ornaments,ornaments,ornaments
garment,garment,,,,,,1,4,garment,garment,garment
Pants,Pants,,,,garment,,1,5,Pants,Pants,Pants
Blouses,Blouses,,,,garment,,1,6,Blouses,Blouses,Blouses
Slippers,Slippers,,,,shoes,,1,7,Slippers,Slippers,Slippers
Wallets,Wallets,,,,packet,,1,8,Wallets,Wallets,Wallets
Skirts,Skirts,,,,garment,,1,9,Skirts,Skirts,Skirts
Earrings,Earrings,,,,ornaments,,1,10,Earrings,Earrings,Earrings
Rings,Rings,,,,ornaments,,1,11,Rings,Rings,Rings
T-Shirts,T-Shirts,,,,garment,,1,12,T-Shirts,T-Shirts,T-Shirts
Flats,Flats,,,,shoes,,1,13,Flats,Flats,Flats
