v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
jewelry,jewelry,,,,,,1,1,jewelry,jewelry,jewelry
clothing,clothing,,,,,,1,2,clothing,clothing,clothing
shoes,shoes,,,,,,1,3,shoes,shoes,shoes
Bag,Bag,,,,,,1,4,Bag,Bag,Bag
Pendant Necklaces,Pendant Necklaces,,,,jewelry,,1,5,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Shorts,Shorts,,,,clothing,,1,6,Shorts,Shorts,Shorts
Heels,Heels,,,,shoes,,1,7,Heels,Heels,Heels
Backpack,Backpack,,,,Bag,,1,8,Backpack,Backpack,Backpack
Women Tops,Women Tops,,,,clothing,,1,9,Women Tops,Women Tops,Women Tops
Bracelets,Bracelets,,,,jewelry,,1,10,Bracelets,Bracelets,Bracelets
Dresses,Dresses,,,,clothing,,1,11,Dresses,Dresses,Dresses
T-Shirts,T-Shirts,,,,clothing,,1,12,T-Shirts,T-Shirts,T-Shirts
Flats,Flats,,,,shoes,,1,13,Flats,Flats,Flats
