v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
garment,garment,,,,,,1,1,garment,garment,garment
shoes,shoes,,,,,,1,2,shoes,shoes,shoes
jewelry,jewelry,,,,,,1,3,jewelry,jewelry,jewelry
packet,packet,,,,,,1,4,packet,packet,packet
Dresses,Dresses,,,,garment,,1,5,Dresses,Dresses,Dresses
Women Tops,Women Tops,,,,garment,,1,6,Women Tops,Women Tops,Women Tops
Blouses,Blouses,,,,garment,,1,7,Blouses,Blouses,Blouses
Slippers,Slippers,,,,shoes,,1,8,Slippers,Slippers,Slippers
T-Shirts,T-Shirts,,,,garment,,1,9,T-Shirts,T-Shirts,T-Shirts
Backpack,Backpack,,,,packet,,1,10,Backpack,Backpack,Backpack
Bracelets,Bracelets,,,,jewelry,,1,11,Bracelets,Bracelets,Bracelets
Pendant Necklaces,Pendant Necklaces,,,,jewelry,,1,12,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Flats,Flats,,,,shoes,,1,13,Flats,Flats,Flats
