v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
jewelry,jewelry,,,,,,1,1,jewelry,jewelry,jewelry
shoe,shoe,,,,,,1,2,shoe,shoe,shoe
packet,packet,,,,,,1,3,packet,packet,packet
clothing,clothing,,,,,,1,4,clothing,clothing,clothing
Women Tops,Women Tops,,,,clothing,,1,5,Women Tops,Women Tops,Women Tops
Slippers,Slippers,,,,shoe,,1,6,Slippers,Slippers,Slippers
Bracelets,Bracelets,,,,jewelry,,1,7,Bracelets,Bracelets,Bracelets
Flats,Flats,,,,shoe,,1,8,Flats,Flats,Flats
Blouses,Blouses,,,,clothing,,1,9,Blouses,Blouses,Blouses
Dresses,Dresses,,,,clothing,,1,10,Dresses,Dresses,Dresses
Tank Tops & Cam's,Tank Tops & Cam's,,,,clothing,,1,11,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Backpack,Backpack,,,,packet,,1,12,Backpack,Backpack,Backpack
Earrings,Earrings,,,,jewelry,,1,13,Earrings,Earrings,Earrings
