v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
Bags,Bags,,,,,,1,1,Bags,Bags,Bags
garment,garment,,,,,,1,2,garment,garment,garment
jewellery,jewellery,,,,,,1,3,jewellery,jewellery,jewellery
shoes,shoes,,,,,,1,4,shoes,shoes,shoes
Flats,Flats,,,,shoes,,1,5,Flats,Flats,Flats
Tank Tops & Cam's,Tank Tops & Cam's,,,,garment,,1,6,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Rings,Rings,,,,jewellery,,1,7,Rings,Rings,Rings
Sneakers & Athletic,Sneakers & Athletic,,,,shoes,,1,8,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Bracelets,Bracelets,,,,jewellery,,1,9,Bracelets,Bracelets,Bracelets
Shorts,Shorts,,,,garment,,1,10,Shorts,Shorts,Shorts
Pants,Pants,,,,garment,,1,11,Pants,Pants,Pants
Wallets,Wallets,,,,Bags,,1,12,Wallets,Wallets,Wallets
Denim Shorts,Denim Shorts,,,,garment,,1,13,Denim Shorts,Denim Shorts,Denim Shorts
