v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
garment,garment,,,,,,1,1,garment,garment,garment
Handbags,Handbags,,,,,,1,2,Handbags,Handbags,Handbags
ornaments,ornaments,,,,,,1,3,ornaments,ornaments,ornaments
shoes,shoes,,,,,,1,4,shoes,shoes,shoes
Rings,Rings,,,,ornaments,,1,5,Rings,Rings,Rings
Tank Tops & Cam's,Tank Tops & Cam's,,,,garment,,1,6,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Heels,Heels,,,,shoes,,1,7,Heels,Heels,Heels
Handbags,Handbags,,,,Handbags,,1,8,Handbags,Handbags,Handbags
Bracelets,Bracelets,,,,ornaments,,1,9,Bracelets,Bracelets,Bracelets
Blouses,Blouses,,,,garment,,1,10,Blouses,Blouses,Blouses
Flats,Flats,,,,shoes,,1,11,Flats,Flats,Flats
T-Shirts,T-Shirts,,,,garment,,1,12,T-Shirts,T-Shirts,T-Shirts
Dresses,Dresses,,,,garment,,1,13,Dresses,Dresses,Dresses
