v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
shoes,shoes,,,,,,1,1,shoes,shoes,shoes
jewellery,jewellery,,,,,,1,2,jewellery,jewellery,jewellery
attire,attire,,,,,,1,3,attire,attire,attire
Bag,Bag,,,,,,1,4,Bag,Bag,Bag
T-Shirts,T-Shirts,,,,attire,,1,5,T-Shirts,T-Shirts,T-Shirts
Women Tops,Women Tops,,,,attire,,1,6,Women Tops,Women Tops,Women Tops
Earrings,Earrings,,,,jewellery,,1,7,Earrings,Earrings,Earrings
Backpack,Backpack,,,,Bag,,1,8,Backpack,Backpack,Backpack
Sandals,Sandals,,,,shoes,,1,9,Sandals,Sandals,Sandals
Heels,Heels,,,,shoes,,1,10,Heels,Heels,Heels
Denim Shorts,Denim Shorts,,,,attire,,1,11,Denim Shorts,Denim Shorts,Denim Shorts
Bracelets,Bracelets,,,,jewellery,,1,12,Bracelets,Bracelets,Bracelets
Blouses,Blouses,,,,attire,,1,13,Blouses,Blouses,Blouses
