v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
bale,bale,,,,,,1,1,bale,bale,bale
jewellery,jewellery,,,,,,1,2,jewellery,jewellery,jewellery
shoes,shoes,,,,,,1,3,shoes,shoes,shoes
clothes,clothes,,,,,,1,4,clothes,clothes,clothes
Rings,Rings,,,,jewellery,,1,5,Rings,Rings,Rings
Denim Shorts,Denim Shorts,,,,clothes,,1,6,Denim Shorts,Denim Shorts,Denim Shorts
Women Tops,Women Tops,,,,clothes,,1,7,Women Tops,Women Tops,Women Tops
Sneakers & Athletic,Sneakers & Athletic,,,,shoes,,1,8,Sneakers & Athletic,Sneakers & Athletic,Sneakers & Athletic
Dresses,Dresses,,,,clothes,,1,9,Dresses,Dresses,Dresses
Wallets,Wallets,,,,bale,,1,10,Wallets,Wallets,Wallets
Shorts,Shorts,,,,clothes,,1,11,Shorts,Shorts,Shorts
Earrings,Earrings,,,,jewellery,,1,12,Earrings,Earrings,Earrings
Flats,Flats,,,,shoes,,1,13,Flats,Flats,Flats
