v_sku,v_name,v_description,v_image,v_url,v_parent_sku,v_date_added,v_status,v_sort_order,v_meta_title,v_meta_keywords,v_meta_description,,,,
clothes,clothes,,,,,,1,1,clothes,clothes,clothes
jewelry,jewelry,,,,,,1,2,jewelry,jewelry,jewelry
Bag,Bag,,,,,,1,3,Bag,Bag,Bag
shoe,shoe,,,,,,1,4,shoe,shoe,shoe
Shorts,Shorts,,,,clothes,,1,5,Shorts,Shorts,Shorts
Pants,Pants,,,,clothes,,1,6,Pants,Pants,Pants
T-Shirts,T-Shirts,,,,clothes,,1,7,T-Shirts,T-Shirts,T-Shirts
Tank Tops & Cam's,Tank Tops & Cam's,,,,clothes,,1,8,Tank Tops & Cam's,Tank Tops & Cam's,Tank Tops & Cam's
Bracelets,Bracelets,,,,jewelry,,1,9,Bracelets,Bracelets,Bracelets
Heels,Heels,,,,shoe,,1,10,Heels,Heels,Heels
Pendant Necklaces,Pendant Necklaces,,,,jewelry,,1,11,Pendant Necklaces,Pendant Necklaces,Pendant Necklaces
Flats,Flats,,,,shoe,,1,12,Flats,Flats,Flats
Handbags,Handbags,,,,Bag,,1,13,Handbags,Handbags,Handbags
